2026-04-26 09:43:33.816 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.66, 60.00, 18.32
2026-04-26 09:43:37.562 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.66, 60.00, 18.32
2026-04-26 09:43:48.462 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-0.06, 59.50, 24.22
2026-04-26 09:44:14.872 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-6.91, 155.00, 7.95
2026-04-26 09:44:28.367 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-6.89, 60.00, 57.68
2026-04-26 09:44:35.567 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-6.89, 60.00, 57.68
2026-04-26 09:44:45.458 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.22, 100.00, 1.12
2026-04-26 09:45:01.645 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:03.909 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:08.872 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:13.916 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:18.916 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:23.916 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:28.916 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:33.916 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:38.860 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:43.925 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:48.923 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:53.923 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:45:58.859 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:03.921 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:08.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:13.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:18.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:23.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:28.878 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:33.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:38.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:43.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:48.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:53.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:46:58.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:47:03.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:47:08.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
2026-04-26 09:47:13.876 [Client thread/INFO] AsdUnionClient - [TabRuntime][LucyU__/52a966b1-13ca-43b9-b3b6-6b10b992942c] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.36, 60.00, 21.53
