2026-04-25 12:56:22.349 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.50, 60.00, 15.50
2026-04-25 12:56:23.716 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.50, 60.00, 15.50
2026-04-25 12:56:37.637 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=0.31, 59.00, 24.80
2026-04-25 12:56:58.788 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=7.70, 100.00, 11.10
2026-04-25 12:57:03.775 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=7.70, 100.00, 11.10
2026-04-25 12:57:08.775 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=7.70, 100.00, 11.10
2026-04-25 12:57:13.775 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=7.70, 100.00, 11.10
2026-04-25 12:58:00.831 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:05.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:10.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:15.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:20.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:25.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:30.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:35.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:40.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:45.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:50.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:58:55.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.29, 57.50, 47.41
2026-04-25 12:59:29.830 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-92.20, 58.00, 48.92
2026-04-25 13:00:00.540 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:05.541 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:10.540 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:15.540 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:20.540 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:25.540 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:30.544 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:35.545 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:40.545 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:45.545 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:50.545 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:00:55.545 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:00.544 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:05.545 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:10.622 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:15.587 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:20.586 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:25.586 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:30.585 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:35.586 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:40.586 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:45.586 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:50.587 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:01:55.586 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:02:00.585 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:02:05.586 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-103.20, 57.50, 47.25
2026-04-25 13:02:13.428 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-102.58, 57.50, 47.25
2026-04-25 13:03:17.944 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:03:22.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:03:27.942 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:03:32.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:03:37.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:03:42.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:03:47.949 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:03:52.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:03:57.942 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:02.942 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:07.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:12.942 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:17.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:22.942 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:27.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:32.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:37.942 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:42.944 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:47.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:52.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:04:57.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:05:02.943 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:05:07.942 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:05:12.897 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-76.00, 103.06, 46.00
2026-04-25 13:06:04.110 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-1719.68, 78.50, -27.81
2026-04-25 13:06:05.358 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-1719.68, 78.50, -27.81
2026-04-25 13:06:06.592 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-1719.68, 78.50, -27.81
2026-04-25 13:06:07.847 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-1719.68, 78.50, -27.81
2026-04-25 13:06:09.080 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-1719.68, 78.50, -27.81
2026-04-25 13:06:10.347 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-1719.68, 78.50, -27.81
2026-04-25 13:06:13.247 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-1719.68, 78.50, -27.81
2026-04-25 13:06:18.233 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-1719.68, 78.50, -27.81
2026-04-25 13:06:39.449 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-0.32, 59.00, 32.77
2026-04-25 13:06:44.449 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-0.32, 59.00, 32.77
2026-04-25 13:08:34.489 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=94.54, 36.50, 1.27
2026-04-25 13:08:39.489 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=94.54, 36.50, 1.27
2026-04-25 13:08:44.489 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=94.54, 36.50, 1.27
2026-04-25 13:10:01.033 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=-3.22, 170.00, 1.83
2026-04-25 13:10:06.034 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=89.50, 37.00, 0.50
2026-04-25 13:10:11.055 [Client thread/INFO] AsdUnionClient - [TabRuntime][momoveray1/b433c87c-da41-4fbd-8508-20aea55188cd] Background tick health: world=true, player=true, openChannel=true, queuedTasks=0, pos=89.50, 37.00, 0.50
